"","ukr","en","NOTES – use \n for newline","max length"
"perk_edit_wands_everywhere","Редагування без кордонів","Tinker With Wands Everywhere","",""
"perkdesc_edit_wands_everywhere","Божественне благословення дозволяє вам редагувати палички будь-де.","A divine blessing allows you to tinker with wands everywhere.","",""
"perk_projectile_homing","Самонавідні постріли","Homing Shots","",""
"perkdesc_projectile_homing","Ваші заклинання зовсім трохи наводяться на ворогів.","Your spells home towards enemies very slightly.","",""
"perk_freeze_field","Морозне поле","Freeze Field","",""
"perkdesc_freeze_field","Рідини замерзають у вашій присутності.","Liquids freeze in your presence.","",""
"perk_dissolve_powders","Розчинення порошків","Dissolve Powders","",""
"perkdesc_dissolve_powders","Пісок та інші м'які, сипучі матеріали швидко зникають у вашій присутності.","Sand and other soft, powdery materials dissolve quickly in your presence.","",""
"perk_bleed_slime","Кров зі слизу","Slime Blood","",""
"perk_shield","Постійний щит","Permanent Shield","",""
"perkdesc_shield","Ви отримуєте невеликий постійний щит.","You gain a small, permanent shield.","",""
"perk_revenge_explosion","Вибух помсти","Revenge Explosion","",""
"perkdesc_revenge_explosion","Ви випускаєте магічний вибух при отриманні шкоди та отримуєте 25% опору шкоді від вибухів.","When you take damage, you release a magical explosion that hurts enemies around you.","",""
"perk_electricity","Наелектризованість","Electricity","",""
"perkdesc_electricity","Ви не вразливі до електричної шкоди, але метали та рідини навколо вас постійно електрифікуються. Будьте обережними!","You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!","",""
"perk_mystery_eggplant","Таємничий баклажан","Mystery Eggplant","",""
"perkdesc_mystery_eggplant","Легко ламається.","It breaks easily.","",""
"perk_double_hp","Подвійне здоров'я, без регенерації","Double Health, No Regeneration","",""
"perkdesc_double_hp","Ваше максимальне ОЗ подвоюється, але ви отримуєте на 20% більше пошкоджень від снарядів.","Your maximum HP is doubled, but you take 20% more damage from projectiles.","",""
"perk_berserk","Лють","Berserk","",""
"perkdesc_berserk","Чим менше ОЗ ви маєте, тим більше шкоди завдають ваші заклинання, до +300% шкоди.","The less HP you have, the more damage your spells deal, up to +300% extra damage.","",""
"perk_shuffle_wands","Перетасування паличок","Shuffle Wands","",""
"perkdesc_shuffle_wands","Усі ваші палички замінюються на випадкові палички приблизно відповідної потужності.","All your wands are replaced with random wands of approximately equal power.","",""
"perk_heavy_ammo","Важкі боєприпаси","Heavy Ammo","",""
"perkdesc_heavy_ammo","Ви отримуєте вибір з 2 потужних заклинань.","You gain a selection of 2 powerful spells.","",""
"perk_liquid_movement","Пересування рідинами","Liquid Movement","",""
"perkdesc_liquid_movement","Рідини ніяк не впливають на ваш рух.","Liquids don't affect your movement at all.","",""
"perk_faster_swimming","Швидше плавання","Faster Swimming","",""
"perkdesc_faster_swimming","Ви плаваєте швидше.","You swim faster.","",""
"perk_extra_shop_item","Додатковий предмет у Святій горі","Extra Item In Holy Mountain","",""
"perkdesc_extra_shop_item","У кожній недослідженій Святій горі буде додатковий предмет.","There will be an additional item in every Holy Mountain you haven't discovered yet.","",""
"perk_poison_burn","Підпал отрути","Burning Poison","",""
"perkdesc_poison_burn","Ваші снаряди мають шанс підпалити отруєних ворогів.","Your projectiles have a chance to ignite poisoned enemies.","",""
"perk_low_gravity","Низька гравітація","Low Gravity","",""
"perkdesc_low_gravity","Всі створіння, включно з вами, отримують собі нижчу силу тяжіння.","Your movement is floatier and you can jump and fly higher.","",""
"perk_destruction_enhancement","Посилення руйнування","Destruction Enhancement","",""
"perkdesc_destruction_enchancement","Ви можете ефективніше руйнувати навколишнє середовище.","You can destroy the environment more effectively.","",""
"perk_damaging_aura","Згубна аура","Damaging Aura","",""
"perkdesc_damaging_aura","Ваші заклинання завдають шкоди ворогам поблизу, навіть якщо не влучають у них.","Your spells damage nearby enemies even if they don't hit them.","",""
"perk_thunder_kick","Громовий копняк","Thunder Kick","",""
"perkdesc_thunder_kick","Ваші копняки миттєво вбивають більшість ворогів та ще далі штовхають об'єкти.","Your kicks instantly kill most foes, and push objects more.","",""
"perk_vision","Кращий зір","Better Vision","",""
"perkdesc_vision","Ви можете бачити більше в темряві.","You can see more into the darkness.","",""
"perk_telepathic_vision","Телепатична присутність","Telepathic Presence","",""
"perkdesc_telepathic_vision","Темряви більше немає, але вороги завжди знають, де ви.","Darkness is no more, but enemies always know where you are.","",""
"perk_no_more_knockback","Ніякого відштовхування","No More Knockback","",""
"perkdesc_no_more_knockback","Вороги більше не можуть зрушити вас з місця.","Enemies can no longer knock you back.","",""
"perk_knockback_control","Кероване відштовхування","Controllable Knockback","",""
"perkdesc_knockback_control","Ви зберігаєте керування, якщо вас відштовхнули.","You can steer while being knocked back.","",""
"perk_roll_again","Тасування","Roll Again","",""
"perkdesc_roll_again","Ви отримуєте новий набір здібностей на вибір.","You get a new set of perks to choose from.","",""
"perk_reveal_secrets","Розкриті таємниці","Reveal Secrets","",""
"perkdesc_reveal_secrets","Скрині, серця та інші предмети сяють через темряву.","Chests, hearts and other items shine through darkness.","",""
"perk_potion_drop","Вибивання зілля","Potion Drop","",""
"perkdesc_potion_drop","Вороги мають шанс залишити випадкове зілля після смерті.","Enemies have a chance of dropping a random potion upon death.","",""
"perk_mystery_egg","Таємниче яйце","Mystery Egg","",""
"perkdesc_mystery_egg","З нього може щось вилупитись!","Something may hatch from it!","",""
"perk_gold_no_disappear_while_seen","Золоте око","Golden I","",""
"perkdesc_gold_no_disappear_while_seen","Золото не зникне, до поки ви його бачите.","Gold doesn't disappear as long as it can be seen.","",""
"perk_mana_discount","Знижка на ману","Mana Discount","",""
"perkdesc_mana_discount","Усі заклинання витрачають на 50% менше мани.","All spells cost 50% less mana.","",""
"perk_juggernaut","Заклинання джаґернаута","Juggernaut Spells","",""
"perkdesc_juggernaut","Ваші заклинання завдають на 30% більше шкоди, але на 30% повільніше летять.","Your projectiles deal 30% more damage, but are 30% slower.","",""
"perk_big_potions","Великі фляги","Big Potions","",""
"perkdesc_big_potions","Фляги, що ви знаходите містять вдвічі більше рідини.","Potions you find contain double the liquid.","",""
"perk_extra_charges","Додаткові заряди","Extra Charges","",""
"perkdesc_extra_charges","Заклинання з обмеженими використаннями можуть бути використані вдвічі більше разів.","Spells with limited uses can be used twice as many times.","",""
"perk_fast_projectiles","Швидші снаряди","Fast Projectiles","",""
"perkdesc_fast_projectiles","Ваші заклинання-снаряди летіть швидше, ніж раніше.","All projectiles fly at double speed.","",""
"perk_deadly_environment","Смертельне середовище","Deadly Environment","",""
"perkdesc_deadly_environment","Істоти отримують підвищену шкоду від отрути та інших рідин, вогню тощо.","Creatures take increased damage from poison and other liquids, fire, and more.","",""
"perk_cursed_power","Проклята сила","Cursed Power","",""
"perkdesc_cursed_power","Усі ваші палички отримують додаткову шкоду, але їх неможливо налаштувати.","All your wands gain extra damage but become uncustomizable.","",""
"perk_randomize_spells","Заміна заклинань","Randomize Spells","",""
"perkdesc_randomize_spells","Усі заклинання у вашому інвентарі заміняються на випадкові заклинання.","All spells in your inventory are replaced with a random spell.","",""
"perk_personal_raincloud","Персональна дощова хмара","Personal Raincloud","",""
"perkdesc_personal_raincloud","Ви набираєте воду, стоячи в ній та випускаєте її, якщо стріляєте в хмару, яка слідує за вами.","You gather water when standing in a pool, and release it if you shoot at the cloud that follows you.","",""
"perk_helper_orb","Куля-помічник","Helper Orb","",""
"perkdesc_helper_orb","Поруч з вами літає куля, що атакує ваших ворогів.","An orb flies near you and attacks your enemies.","",""
"perk_extra_wand_slot","Додаткова комірка для паличок","Extra Wand Storage","",""
"perkdesc_extra_wand_slot","Ви можете переносити одну паличку більше.","You can carry one extra wand.","",""
"perk_extra_potion_slot","Додаткова комірка для речей","Extra Item Storage","",""
"perkdesc_extra_potion_slot","Ви можете переносити на один предмет більше.","You can carry one extra item.","",""
"perk_extra_action_storage","Більше місця для заклинань","Extra Spell Storage","",""
"perkdesc_extra_action_storage","Ви отримуєте більше місця для заклинань","You gain more room for spells","",""
"perk_persuasion","Переконливість","Persuasion","",""
"perkdesc_persuasion","Вороги з низьким рівнем здоров'я можуть почати битися за вас.","Enemies with low health may start fighting for you.","",""
"perk_permanent_flying","Підлога — це лава","Floor Is Lava","",""
"perkdesc_permanent_flying","Ви можете літати вічно, але стояння на землі поступово завдає вам шкоди.","You can fly forever, but standing on the ground deals you damage over time.","",""
"perk_melt","Плавлення трупів","Melting Corpses","",""
"perkdesc_melt","Трупи ваших ворогів перетворюються на слиз.","Your enemies' corpses melt into slime.","",""
"perk_double_cast","Подвійне чаклування","Double Cast","",""
"perkdesc_double_cast","Ваші палички активують одне додаткове заклинання при використанні.","Your wands cast one extra spell when used.","",""
"perk_ability_actions_materialized","Матеріалізація бомб","Bombs Materialized","",""
"perkdesc_ability_actions_materialized","Бомбоподібні заклинання можуть бути поміщені в комірку для предметів у інвентарі та використовуватися як метальні предмети.","Bomb-like spells can be placed in the ITEMS space in inventory and used like throwable items.","",""
"mat_air","Повітря","air","",""
"mat_fire","Вогонь","fire","",""
"mat_spark","Іскра","spark","",""
"mat_spark_green","Іскра","spark","",""
"mat_spark_blue","Іскра","spark","",""
"mat_spark_red","Іскра","spark","",""
"mat_spark_white","Іскра","spark","",""
"mat_spark_yellow","Іскра","spark","",""
"mat_spark_purple","Іскра","spark","",""
"mat_spark_player","Іскра","spark","",""
"mat_spark_teal","Іскра","spark","",""
"mat_spark_electric","Електрична іскра","electric spark","",""
"mat_flame","Вогонь","fire","",""
"mat_sand_static","Ґрунт","ground","",""
"mat_sand_static_rainforest","Пишний ґрунт","lush ground","",""
"mat_bone_static","Кісткова стіна","bone wall","",""
"mat_rust_static","Іржавий метал","rusted metal","",""
"mat_sand_static_bright","Гранітний ґрунт","granite ground","",""
"mat_sand_static_red","Іржавий ґрунт","rusty ground","",""
"mat_nest_static","Гніздо","nest","",""
"mat_bluefungi_static","Синій гриб","blue fungus","",""
"mat_cheese_static","Сир","cheese","",""
"mat_rock_static","Камінь","rock","",""
"mat_rock_static_intro","Камінь","rock","",""
"mat_water_static","Вода","Water","",""
"mat_endslime_static","Пекельний слиз","hell slime","",""
"mat_slime_static","Слиз","slime","",""
"mat_rock_hard","Щільний камінь","dense rock","",""
"mat_rock_static_noedge","Камінь","rock","",""
"mat_rock_hard_border","Надзвичайно щільний камінь","extremely dense rock","",""
"mat_rock_magic_gate","Магічна брама","magic gate","",""
"mat_rock_magic_bottom","Магічна стіна","magic wall","",""
"mat_rock_eroding","Легко руйнівний камінь","eroding rock","",""
"mat_rock_vault","Камінь сховища","vault rock","",""
"mat_coal_static","Вугільна жила","coal vein","",""
"mat_rock_static_grey","Сірий камінь","grey rock","",""
"mat_rock_static_radioactive","Токсичний камінь","toxic rock","",""
"mat_rock_static_poison","Отруйний камінь","poisonous rock","",""
"mat_skullrock","Пекельний камінь","hell rock","",""
"mat_rock_static_wet","Вологий камінь","damp rock","",""
"mat_lavarock_static","Вулканічний камінь","volcanic rock","",""
"mat_lava","Лава","lava","",""
"mat_meteorite_static","Метеорит","meteorite","",""
"mat_templerock_static","Цегляна кладка","brickwork","",""
"mat_templebrick_static","Цегляна кладка","brickwork","",""
"mat_templebrick_noedge_static","Цегляна кладка","brickwork","",""
"mat_templebrick_thick_static","Цегляна кладка","brickwork","",""
"mat_templebrickdark_static","Цегляна кладка","brickwork","",""
"mat_templeslab_static","Цегляна кладка","brickwork","",""
"mat_templeslab_crumbling_static","Цегляна кладка","brickwork","",""
"mat_glowstone","Сяйний камінь","glowing stone","",""
"mat_glowstone_altar","Сяйний камінь","glowing stone","",""
"mat_glowstone_potion","Сяйний камінь","glowing stone","",""
"mat_templebrick_red","Цегляна кладка","brickwork","",""
"mat_templebrick_moss_static","Замшіла цегляна кладка","mossy brickwork","",""
"mat_the_end","Пекельний камінь","hell rock","",""
"mat_steel_static","Сталь","steel","",""
"mat_steelmoss_static","Замшіла сталь","mossy steel","",""
"mat_steelmoss_slanted","Замшіла сталь","mossy steel","",""
"mat_steelsmoke_static","димна сталь","smoking steel","",""
"mat_steelpipe_static","Металева труба","metal pipe","",""
"mat_steel_static_strong","Щільна сталь","dense steel","",""
"mat_steel_static_unmeltable","Загартована сталь","hardened steel","",""
"mat_rock_static_glow","Сяйна матерія","glowing matter","",""
"mat_snow_static","Пресований сніг","packed snow","",""
"mat_ice_static","Лід","ice","",""
"mat_rock_static_intro_breakable","Камінь","rock","",""
"mat_ice_blood_static","Заморожена кров","frozen blood","",""
"mat_ice_acid_static","Заморожена кислота","frozen acid","",""
"mat_ice_cold_static","Лід","ice","",""
"mat_ice_radioactive_static","Токсичний лід","toxic ice","",""
"mat_ice_meteor_static","Лід","ice","",""
"mat_tubematerial","Неонова труба","neon tube","",""
"mat_glass_static","Скло","glass","",""
"mat_waterrock","Камінь","rock","",""
"mat_ice_glass","Лід","ice","",""
"mat_tube_physics","Неонова труба","neon tube","",""
"mat_ice_acid_glass","Заморожена кислота","frozen acid","",""
"mat_ice_cold_glass","Лід","ice","",""
"mat_ice_radioactive_glass","Токсичний лід","toxic ice","",""
"mat_ice_glass_b2","Лід","ice","",""
"mat_glass_brittle","Крихке скло","brittle glass","",""
"mat_snowrock_static","Заморожений камінь","frozen rock","",""
"mat_concrete_static","Бетон","concrete","",""
"mat_wood_static","Деревина","wood","",""
"mat_wood_static_wet","Волога деревина","damp wood","",""
"mat_creepy_liquid_emitter","Цегляна стіна","brick wall","",""
"mat_gold_static","Золота жила","gold vein","",""
"mat_gold_static_dark","Вібруюча золота жила","vibrant gold vein","",""
"mat_wood_static_vertical","Деревина","wood","",""
"mat_wood_static_gas","Пресована деревина","pressurized wood","",""
"mat_corruption_static","Проклятий камінь","corrupted rock","",""
"mat_smoke","Дим","smoke","",""
"mat_smoke_explosion","Дим","smoke","",""
"mat_steam","Пара","steam","",""
"mat_acid_gas","Легкозаймистий газ","flammable gas","",""
"mat_acid_gas_static","Легкозаймистий газ","flammable gas","",""
"mat_smoke_static","Дим","smoke","",""
"mat_poison_gas","Отруйний газ","poison gas","",""
"mat_fungal_gas","Грибковий газ","fungal gas","",""
"mat_blood_cold_vapour","Морозна пара","freezing vapour","",""
"mat_sand_herb_vapour","Веселячі випари","funky vapour","",""
"mat_radioactive_gas","Токсичний газ","toxic gas","",""
"mat_radioactive_gas_static","Токсичний газ","toxic gas","",""
"mat_water","Вода","Water","",""
"mat_water_fading","Вода","Water","",""
"mat_water_salt","Соляний розчин","brine","",""
"mat_water_temp","Вода","Water","",""
"mat_water_ice","Холодна вода","chilly water","",""
"mat_water_swamp","Болото","swamp","",""
"mat_oil","Нафта","oil","",""
"mat_liquid_fire_weak","Рідкий вогонь","liquid fire","",""
"mat_alcohol","Віскі","whiskey","",""
"mat_midas_precursor","Алхімічний попередник","alchemic precursor","",""
"mat_midas","Тяга Мідаса","draught of midas","",""
"mat_magic_liquid","Брамовідкривач","gate-opener","",""
"mat_magic_liquid_teleportation","Телепортаніум","teleportatium","",""
"mat_magic_liquid_hp_regeneration","Регенератіум","healthium","",""
"mat_magic_liquid_hp_regeneration_unstable","Жвава суміш","lively concoction","",""
"mat_magic_liquid_polymorph","Поліморфін","polymorphine","",""
"mat_magic_liquid_random_polymorph","Хаотичний поліморфін","chaotic polymorphine","",""
"mat_magic_liquid_berserk","Розлютин","berserkium","",""
"mat_magic_liquid_charm","Феромони","pheromone","",""
"mat_magic_liquid_invisibility","Щезин","invisiblium","",""
"mat_cloud","Хмара","cloud","",""
"mat_cloud_radioactive","Токсичний туман","toxic mist","",""
"mat_cloud_alcohol","Алкогольний туман","alcohol mist","",""
"mat_cloud_blood","Кривавий туман","blood mist","",""
"mat_cloud_slime","Туман слизу","slime mist","",""
"mat_swamp","Болото","swamp","",""
"mat_mud","Багно","mud","",""
"mat_blood_fading_slow","Грибкова кров","fungal blood","",""
"mat_blood_worm","Кров хробака","worm blood","",""
"mat_blood_cold","Морозильна рідина","freezing liquid","",""
"mat_radioactive_liquid","Токсичний осад","toxic sludge","",""
"mat_radioactive_liquid_fading","Токсичний осад","toxic sludge","",""
"mat_plasma_fading","Магічна рідина","magical liquid","",""
"mat_plasma_fading_green","Магічна рідина","magical liquid","",""
"mat_plasma_fading_pink","Магічна рідина","magical liquid","",""
"mat_gold_molten","Розплавлене золото","molten gold","",""
"mat_steel_static_molten","Розплавлена сталь","molten steel","",""
"mat_steelmoss_slanted_molten","Розплавлена сталь","molten steel","",""
"mat_steelmoss_static_molten","Розплавлена сталь","molten steel","",""
"mat_steelsmoke_static_molten","Розплавлена сталь","molten steel","",""
"mat_metal_molten","Розплавлений метал","molten metal","",""
"mat_metal_rust_molten","Розплавлений метал","molten metal","",""
"mat_metal_nohit_molten","Розплавлений метал","molten metal","",""
"mat_aluminium_molten","Розплавлений алюміній","molten aluminium","",""
"mat_aluminium_robot_molten","Розплавлений алюміній","molten aluminium","",""
"mat_metal_prop_molten","Розплавлений метал","molten metal","",""
"mat_steel_rust_molten","Розплавлена сталь","molten steel","",""
"mat_aluminium_oxide_molten","Розплавлений алюміній","molten aluminium","",""
"mat_wax_molten","Розплавлений віск","molten wax","",""
"mat_silver_molten","Розплавлене срібло","molten silver","",""
"mat_copper_molten","Розплавлена мідь","molten copper","",""
"mat_brass_molten","Розплавлена латунь","molten brass","",""
"mat_glass_molten","Розплавлене скло","molten glass","",""
"mat_glass_broken_molten","Розплавлене скло","molten glass","",""
"mat_steel_molten","Розплавлений метал","molten metal","",""
"mat_creepy_liquid","Моторошна рідина","creepy liquid","",""
"mat_cement","Цемент","cement","",""
"mat_sand","Пісок","sand","",""
"mat_sand_blue","Синій пісок","blue sand","",""
"mat_lavasand","Вулканічний пісок","volcanic sand","",""
"mat_bone","Кістковий пил","bone dust","",""
"mat_soil","Ґрунт","soil","",""
"mat_soil_dead","Неродючий ґрунт","barren soil","",""
"mat_sandstone","Піщаник","sandstone","",""
"mat_fungisoil","Грибковий ґрунт","fungal soil","",""
"mat_honey","Мед","honey","",""
"mat_pea_soup","Гороховий суп","pea soup","",""
"mat_endslime","Пекельний слиз","hell slime","",""
"mat_endslime_blood","Пекельний слиз","hell slime","",""
"mat_explosion_dirt","Земля","dirt","",""
"mat_vine","Вино","vine","",""
"mat_root","Лоза","vine","",""
"mat_snow","сніг","snow","",""
"mat_rotten_meat","Гниле м’ясо","rotten meat","",""
"mat_meat_slime_sand","Слизьке м'ясо","slimy meat","",""
"mat_meat_slime_green","Зелене слизьке м'ясо","green slimy meat","",""
"mat_meat_slime_orange","Слизьке м'ясо","slimy meat","",""
"mat_rotten_meat_radioactive","Токсичне м'ясо","toxic meat","",""
"mat_meat_worm","М'ясо хробака","worm meat","",""
"mat_ice","Лід","ice","",""
"mat_wax","Віск","wax","",""
"mat_gold","Золото","gold","",""
"mat_gold_radioactive","Токсичне золото","toxic gold","",""
"mat_copper","Мідь","copper","",""
"mat_silver","Срібло","silver","",""
"mat_coal","Вугілля","coal","",""
"mat_brass","Латунь","brass","",""
"mat_burning_powder","Легкозаймистий порошок","burning powder","",""
"mat_sodium_unstable","Вологий натрій","wet sodium","",""
"mat_gunpowder","Порох","gunpowder","",""
"mat_gunpowder_tnt","Порох","gunpowder","",""
"mat_gunpowder_unstable","Порох","gunpowder","",""
"mat_gunpowder_unstable_boss_limbs","Слизьке м'ясо","slimy meat","",""
"mat_plastic_red","Пластик","plastic","",""
"mat_plastic_red_molten","Розплавлений пластик","molten plastic","",""
"mat_plastic_molten","Розплавлений пластик","molten plastic","",""
"mat_plastic_prop_molten","Розплавлений пластик","molten plastic","",""
"mat_grass","Трава","grass","",""
"mat_moss","Мох","moss","",""
"mat_moss_rust","Іржавий мох","rusty moss","",""
"mat_fungi_green","Гриб","fungus","",""
"mat_spore","Насіння","seed","",""
"mat_plant_material_red","Насіння","seed","",""
"mat_ceiling_plant_material","Насіння","seed","",""
"mat_mushroom_seed","Грибкова спора","fungal spore","",""
"mat_plant_seed","Насіння рослини","plant seed","",""
"mat_mushroom","Грибкова спора","fungal spore","",""
"mat_mushroom_giant_red","Грибкова спора","fungal spore","",""
"mat_mushroom_giant_blue","Грибкова спора","fungal spore","",""
"mat_bush_seed","Вічнозелене насіння","evergreen seed","",""
"mat_acid","Кислота","acid","",""
"mat_wood_player_b2","Деревина","wood","",""
"mat_wood_player_b2_vertical","Деревина","wood","",""
"mat_wood","Деревина","wood","",""
"mat_fuse","Бомба","bomb","",""
"mat_fuse_tnt","TNT","tnt","",""
"mat_fuse_holy","Свята матерія","holy matter","",""
"mat_templebrick_box2d","Цегляна кладка","brickwork","",""
"mat_wood_trailer","Деревина","wood","",""
"mat_wood_wall","Деревина","wood","",""
"mat_cactus","Трава","grass","",""
"mat_grass_loose","Грибкова матерія","fungal matter","",""
"mat_wood_prop","Деревина","wood","",""
"mat_wood_prop_durable","Тверда деревина","tough wood","",""
"mat_nest_box2d","Гніздо","nest","",""
"mat_cocoon_box2d","Кокон","cocoon","",""
"mat_wood_loose","Деревина","wood","",""
"mat_rock_loose","Камінь","rock","",""
"mat_ice_ceiling","Лід","ice","",""
"mat_brick","Цегляна стіна","brick wall","",""
"mat_concrete_collapsed","Обвалений бетон","collapsed concrete","",""
"mat_tnt","TNT","tnt","",""
"mat_trailer_text","Текст","text","",""
"mat_meteorite","Метеорит","meteorite","",""
"mat_meteorite_crackable","Метеорит","meteorite","",""
"mat_meteorite_green","Зелений метеорит","green meteorite","",""
"mat_steel","Сталь","steel","",""
"mat_steel_rust","Іржава сталь","rusted steel","",""
"mat_metal_rust_rust","Іржавий метал","rusted metal","",""
"mat_metal_rust_barrel_rust","Іржавий метал","rusted metal","",""
"mat_plastic","Пластик","plastic","",""
"mat_aluminium","Алюміній","aluminium","",""
"mat_metal_prop","Метал","metal","",""
"mat_metal","Метал","metal","",""
"mat_rock_box2d_hard","Камінь","rock","",""
"mat_rock_box2d_nohit","Камінь","rock","",""
"mat_rock_box2d_nohit_hard","Щільний камінь","dense rock","",""
"mat_rock_static_box2d","Камінь","rock","",""
"mat_rock_box2d","Камінь","rock","",""
"mat_item_box2d","Предмет","item","",""
"mat_gem_box2d","Дорогоцінний камінь","gem","",""
"mat_potion_glass_box2d","Скло","glass","",""
"mat_glass_box2d","Скло","glass","",""
"mat_gem_box2d_pink","Дорогоцінний камінь","gem","",""
"mat_gem_box2d_red","Дорогоцінний камінь","gem","",""
"mat_gem_box2d_green","Дорогоцінний камінь","gem","",""
"mat_gem_box2d_orange","Дорогоцінний камінь","gem","",""
"mat_gold_box2d","Золото","gold","",""
"mat_metal_nohit","Метал","metal","",""
"mat_metal_rust","Іржавий метал","rusted metal","",""
"mat_metal_rust_barrel","Іржавий метал","rusted metal","",""
"mat_bone_box2d","Кістка","bone","",""
"mat_crystal","Кристал","crystal","",""
"mat_crystal_purple","Фіолетовий кристал","purple crystal","",""
"mat_crystal_magic","Кристал","crystal","",""
"mat_aluminium_oxide","Алюміній","aluminium","",""
"mat_meat","М'ясо","meat","",""
"mat_urine","Сеча","urine","",""
"mat_poo","Екскременти","excrement","",""
"mat_rocket_particles","Дим","smoke","",""
"mat_ice_melting_perf_killer","Лід","ice","",""
"mat_ice_b2","Лід","ice","",""
"mat_glass","Скло","glass","",""
"mat_neon_tube_purple","Неонова труба","neon tube","",""
"mat_neon_tube_cyan","Неонова труба","neon tube","",""
"mat_neon_tube_blood_red","Неонова труба","neon tube","",""
"mat_blood_thick","Кров","blood","",""
"mat_snow_b2","Сніг","snow","",""
"mat_diamond","Діамант","diamond","",""
"mat_meat_slime","Слизьке м'ясо","slimy meat","",""
"mat_concrete_sand","Бетон","concrete","",""
"mat_blood","Кров","blood","",""
"mat_blood_fading","Кров","blood","",""
"mat_gunpowder_explosive","Порох","gunpowder","",""
"mat_fungi","Гриб","fungus","",""
"mat_plant_material","Рослинний матеріал","plant material","",""
"mat_wood_player","Деревина","wood","",""
"mat_wax_b2","Віск","wax","",""
"mat_physics_throw_material_part2","Хтозна-що","who knows","",""
"mat_fire_blue","Вогонь","fire","",""
"mat_gold_b2","Золото","gold","",""
"mat_fungus_loose","Гриб","fungus","",""
"mat_sodium","Натрій","sodium","",""
"mat_sulphur","Сірка","sulphur","",""
"mat_salt","Сіль","salt","",""
"mat_steel_sand","Сталь","steel","",""
"mat_slime_green","Слиз","slime","",""
"mat_slime_pink","Слиз","slime","",""
"mat_soil_lush","Ґрунт","soil","",""
"mat_radioactive_liquid_yellow","Токсичний мул","toxic sludge","",""
"mat_liquid_fire","Вогонь","fire","",""
"mat_smoke_magic","Дим","smoke","",""
"mat_sand_herb","Трава","herb","",""
"ENTIRELY NEW TEXT AFTER THIS LINE","","","",""
"biome_tower","Вежі","Tower","",""
"biome_vault_frozen","Змерзлого сховища","Frozen vault","",""
"biome_clouds","Небокраю","Cloudscape","",""
"biome_liquidcave","Стародавньої лабораторії","Ancient laboratory","",""
"biome_secret_lab","Покинутої секретної лабораторії","Abandoned alchemy lab","",""
"biome_weathercrystal","Кришталевої зали","Crystal Chamber","",""
"mat_ice_poison_static","Заморожена отрута","Frozen poison","",""
"mat_ice_poison_glass","Заморожена отрута","Frozen poison","",""
"mat_ice_slime_static","Заморожений слиз","Frozen slime","",""
"mat_ice_slime_glass","Заморожений слиз","Frozen slime","",""
"mat_ice_blood_glass","Заморожена кров","Frozen blood","",""
"mat_void_liquid","Порожниста рідина","Void liquid","",""
"mat_fungi_creeping","Таємничий гриб","Mystery fungus","",""
"mat_purifying_powder","Очищувальний порошок","Purifying powder","",""
"mat_magic_crystal","Магічний кристал","Magical crystal","",""
"mat_rock_static_cursed","Проклятий камінь","Cursed rock","",""
"mat_steelfrost_static","Заморожена сталь","Frozen steel","",""
"mat_slush","Сльота","Slush","",""
"mat_poison","Отрута","Poison","",""
"mat_alcohol_gas","Випари віскі","Whiskey fumes","",""
"mat_vomit","Блювота","Vomit","",""
"mat_blood_fungi","Грибкова кров","fungus blood","",""
"mat_glowshroom","Сяйна грибкова спора","glowing fungal spore","",""
"mat_fungi_trippy","Дивний гриб","weird fungus","",""
"mat_sima","Сіма","Sima","",""
"mat_glass_liquidcave","Загартоване скло","Tempered glass","",""
"mat_templebrick_static_ruined","Зруйнована цегляна стіна","Ruined brick wall","",""
"mat_templebrick_brittle","Крихка цегляна кладка","Brittle brickwork","",""
"mat_rock_brittle","Крихкий камінь","Brittle rock","",""
"mat_antidote","Протиотрута","Antidote","",""
"mat_confusion","Збентежин","flummoxium","",""
"mat_magic_liquid_movement_faster","Прискоріум","acceleratium","",""
"mat_magic_liquid_worm_attractor","Феромони хробаків","worm pheromone","",""
"mat_magic_liquid_protection_all","Амброзія","ambrosia","",""
"mat_magic_liquid_mana_regeneration","Концентрована мана","concentrated mana","",""
"mat_meat_helpless","М'ясо невинної істоти","Meat of an innocent creature","",""
"mat_meat_trippy","Дивне м’ясо","Weird meat","",""
"mat_meat_cursed","Прокляте м'ясо","Cursed meat","",""
"mat_meat_slime_cursed","Слизьке прокляте м'ясо","Slimy cursed meat","",""
"mat_meat_teleport","Ефірне м'ясо","Ethereal meat","",""
"mat_meat_polymorph","Нестабільне м'ясо","Unstable meat","",""
"mat_meat_confusion","Неоднозначне м’ясо","Ambiguous meat","",""
"mat_bloodgold_box2d","Рубін","Ruby","",""
"mat_magic_liquid_faster_levitation","Левітаніум","levitatium","",""
"mat_magic_liquid_faster_levitation_and_movement","Хастіум","hastium","",""
"mat_magic_gas_hp_regeneration","Зціліум","Healium","",""
"mat_meat_polymorph_protection","Смердюче м'ясо","Stinky meat","",""
"animal_slimeshooter_weak","Heikko limanuljaska","Heikko limanuljaska","doesn't need to be translated",""
"animal_wraith","Hyypiö","Hyypiö","doesn't need to be translated",""
"animal_wraith_glowing","Hohtava hyypiö","Hohtava hyypiö","doesn't need to be translated",""
"animal_necromancer_shop","Stevari","Stevari","doesn't need to be translated",""
