,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
actiondesc_knockback,Gives a projectile the power to knock back the foes it hits,При попадании снаряд отбрасывает врагов,Concede ao projétil a capacidade de empurrar inimigos.,Hace que un proyectil empuje hacia atrás a los enemigos golpeados,"Schlägt Feinde, die von Projektilen getroffen wurden, zurück",Projette les ennemis touchés par le projectile,Applica a un proiettile il potere di far arretrare i nemici che colpisce.,Zapewnia pociskowi moc odpychania trafionych wrogów,投射物命中的敌人将被击退,この放射物に当たった敵をノックバックする,발사체 충돌 시 적을 뒤로 넘어뜨립니다.,,,,,,,,,,,,,
action_recoil,Recoil,Отдача,Recuo,Retroceso,Rückstoß,Recul,Rinculo,Odrzut,后座力,反動,반동,,,,,,,,,,,,,
actiondesc_recoil,Increases the recoil when casting spells,Повышает отдачу при наложении заклинания,Aumenta o recuo ao lançar feitiços.,Aumenta el retroceso al lanzar hechizos,Erhöht den Rückstoß beim Wirken von Zaubern,Augmente le recul au lancement du sort,Aumenta il rinculo quando si lanciano energie.,Zwiększa odrzut podczas rzucania zaklęć,提高施放法术时的后座力,呪文詠唱時の反動を増加させる,주문 시전 시 반동이 증가합니다.,,,,,,,,,,,,,
action_recoil_damper,Recoil Damper,Амортизатор,Redução de recuo,Amortiguador,Rückstoßdämpfer,Amortisseur de recul,Ammortizzatore rinculo,Kompensator odrzutu,后座阻尼器,反動緩衝器,반동 감쇄기,,,,,,,,,,,,,
actiondesc_recoil_damper,Reduces the recoil when casting spells,Снижает отдачу при наложении заклинания,Reduz o recuo ao lançar feitiços.,Reduce el retroceso al lanzar hechizos,Reduziert den Rückstoß beim Wirken von Zaubern,Réduit le recul au lancement du sort,Riduce il rinculo quando si lanciano energie.,Zmniejsza odrzut podczas rzucania zaklęć,降低施放法术时的后座力,呪文詠唱時の反動を減少させる,주문 시전 시 반동이 감소합니다.,,,,,,,,,,,,,
action_speed,Speed Up,Ускорение,Aceleração,Velocidad aumentada,Beschleunigung,Accélération,Accelerazione,Przyspieszenie,加速,スピードアップ,속도 증가,,,,,,,,,,,,,
actiondesc_speed,Increases the speed at which a projectile flies through the air,Повышает скорость полета снаряда по воздуху,Aumenta a velocidade do projétil no ar.,Aumenta la velocidad de vuelo del proyectil,"Erhöht die Geschwindigkeit, mit der Projektile durch die Luft fliegen",Augmente la vitesse de vol du projectile,Aumenta la velocità con la quale il proiettile fende l'aria.,Zwiększa prędkość lotu pocisku przez powietrze,加快投射物的飞行速度,放射物が空中を飛ぶスピードを増加させる,발사체가 날아가는 속도가 증가합니다.,,,,,,,,,,,,,
action_gore,Draw blood,Отбор крови,Jorrar sangue,Desangrar,Blut abnehmen,Saigner,Dissanguamento,Puszczanie krwi,抽血,流血,피 뽑기,,,,,,,,,,,,,
actiondesc_gore,Makes foes spill more blood when hit with a projectile,Враги более теряют больше крови при попадании снаряда,Faz os inimigos jorrarem mais sangue ao serem atingidos por um projétil.,Hace que los enemigos expulsen más sangre al ser alcanzados por un proyectil,"Bewirkt, dass Feinde mehr Blut verlieren, wenn sie von Projektilen getroffen werden",Fait perdre plus de sang aux ennemis frappés par un projectile,Fa perdere più sangue ai nemici quando vengono colpiti da un proiettile.,"Sprawia, że wrogowie tracą więcej krwi po trafieniu pociskiem",敌人被投射物击中时溅洒更多血液,放射物に当たった敵の流血量を増やす,발사체에 맞은 적이 더 많은 피를 흘립니다.,,,,,,,,,,,,,
actiondesc_explosive_projectile,Makes a projectile more destructive to the environment,Делает снаряд более разрушительным для окружения,Faz os projéteis serem mais destrutivos ao ambiente.,Los proyectiles destruyen más fácilmente el entorno,"Bewirkt, dass Projektile mehr Schaden an der Umgebung verursachen",Rend un projectile plus destructeur pour l'environnement,Rende un proiettile più distruttivo per l'ambiente.,"Sprawia, że pocisk staje się bardziej niszczycielski dla środowiska",令投射物对环境更具破坏性,放射物の環境破壊度を増やす,발사체가 주변 환경에 더 큰 파괴를 가합니다.,,,,,,,,,,,,,
action_water_to_poison,Water to poison,Воду в яд,Da água ao veneno,Agua en veneno,Wasser in Gift verwandeln,De l'eau au poison,Acqua in veleno,Woda w truciznę,化水为毒,水から毒へ,물에 독 타기,,,,,,,,,,,,,
actiondesc_water_to_poison,Makes any water within a projectile's range turns into poison,Вода в радиусе действия снаряда превращается в яд,Transforma a água ao alcance do projétil em veneno.,El agua cerca del proyectil se convierte en veneno,"Bewirkt, dass Wasser in Reichweite der Projektile sich in Gift verwandelt",Toute l'eau à portée d'un projectile se transforme en poison,Trasforma l'acqua nella portata di un proiettile in veleno.,"Sprawia, że woda w zasięgu pocisku zamienia się w truciznę",投射物范围内的所有水体变为毒液,放射物の範囲内にある水は全て毒になる,발사체 범위 안에 있는 액체가 모두 독성이 됩니다.,,,,,,,,,,,,,
action_blood_to_acid,Blood to acid,Кровь в кислоту,Do sangue ao ácido,Sangre en ácido,Blut in Säure verwandeln,Du sang à l'acide,Sangue in acido,Krew w kwas,溶血为酸,血から酸へ,피를 산성으로,,,,,,,,,,,,,
actiondesc_blood_to_acid,Makes any blood within a projectile's range turns into acid,Кровь в радиусе действия снаряда превращается в кислоту,Transforma o sangue ao alcance do projétil em ácido.,La sangre cerca del proyectil se convierte en ácido,"Bewirkt, dass Blut in Reichweite der Projektile sich in Säure verwandelt",Tout le sang à portée d'un projectile se transforme en acide,Trasforma il sangue nella portata di un proiettile in acido.,"Sprawia, że krew w zasięgu pocisku zamienia się w kwas",投射物范围内的所有血液变为酸液,放射物の範囲内にある血は全て酸になる,발사체 범위 안에 있는 피가 모두 산성이 됩니다.,,,,,,,,,,,,,
action_lava_to_blood,Lava to blood,Лаву в кровь,Da lava ao sangue,Lava en sangre,Lava in Blut verwandeln,De la lave au sang,Lava in sangue,Lawa w krew,熔岩化血,溶岩から血へ,용암을 피로,,,,,,,,,,,,,
actiondesc_lava_to_blood,Makes any lava within a projectile's range turn into blood,Лава в радиусе действия снаряда превращается в кровь,Transforma a lava ao alcance do projétil em sangue.,La lava cerca del proyectil se convierte en sangre,"Bewirkt, dass Lava in Reichweite der Projektile sich in Blut verwandelt",Toute la lave à portée d'un projectile se transforme en sang,Trasforma la lava nella portata di un proiettile in sangue.,"Sprawia, że lawa w zasięgu pocisku zamienia się w krew",投射物范围内的所有岩浆变为血液,放射物の範囲内にある溶岩は全て血になる,발사체 범위 안에 있는 용암이 모두 피가 됩니다.,,,,,,,,,,,,,
action_necromancy,Necromancy,Некромантия,Necromancia,Nigromancia,Nekromantie,Nécromancie,Negromanzia,Nekromancja,死灵之术,黒魔術,네크로맨서,,,,,,,,,,,,,
actiondesc_necromancy,Makes corpses of creatures killed by a projectile rise to your aid,Заставляет трупы убитых снарядом восставать на вашу сторону,Faz os cadáveres das criaturas abatidas pelo projétil se levantarem para ajudar o conjurador.,Los cadáveres de las criaturas que maten tus proyectiles se levantan para ayudarte,"Bewirkt, dass die Leichen von Kreaturen, die von Projektilen getötet wurden, auferstehen und dir zur Hilfe eilen",Les corps des créatures tuées par un projectile se lèvent pour vous aider,Fa levitare i cadaveri delle creature uccise da un proiettile per soccorrerti.,"Sprawia, że zwłoki stworzeń zabitych przez twój pocisk powstają, aby ci pomóc",复活被投射物杀死的生物尸体，让它们为你所用,放射物によって殺された生物の死体を、あなたの援軍として呼び起こす,발사체에 죽은 크리처의 시체가 다시 일어나 플레이어를 지원합니다.,,,,,,,,,,,,,
actiondesc_explosion,A powerful explosion,Мощный взрыв,Uma explosão poderosa.,Una poderosa explosión,Eine mächtige Explosion,Une puissante explosion,Un'esplosione poderosa.,Potężny wybuch,强力的爆炸,強力な爆破,강력한 폭발입니다,,,,,,,,,,,,,
action_fire_blast,Explosion of brimstone,Взрыв самородной серы,Explosão de fogo,Explosión de azufre,Sulfur-Explosion,Explosion de soufre,Esplosione di zolfo,Wybuch siarki,火焰爆炸,業火爆発,유황 폭발,,,,,,,,,,,,,
actiondesc_fire_blast,A fiery explosion,Взрыв с огнем,Uma explosão flamejante.,Una explosión ardiente,Eine feurige Explosion,Une explosion brûlante,Un'esplosione incandescente.,Ognisty wybuch,炽烈的爆炸,激烈な爆破,격렬한 폭발입니다,,,,,,,,,,,,,
action_poison_blast,Explosion of poison,Взрыв яда,Explosão de veneno,Explosión de veneno,Gift-Explosion,Explosion de poison,Esplosione di veleno,Wybuch trucizny,毒素爆炸,毒の爆発,독성 폭발,,,,,,,,,,,,,
actiondesc_poison_blast,An alchemical explosion,Алхимический взрыв,Uma explosão alquímica.,Una explosión alquímica,Eine alchemistische Explosion,Une explosion alchimique,Un'esplosione alchemica.,Alchemiczny wybuch,化学性的爆炸,錬金術的爆破,화학적인 폭발입니다,,,,,,,,,,,,,
action_alcohol_blast,Explosion of spirits,Взрыв алкоголя,Explosão de espíritos,Explosión espirituosa,Hochprozentige Explosion,Explosion spiritueuse,Esplosione di alcol,Wybuch spirytusu,烈酒爆炸,魂の爆発,술 폭발,,,,,,,,,,,,,
actiondesc_alcohol_blast,An inebriating explosion,Пьянящий взрыв,Uma explosão inebriante.,Una explosión embriagadora,Eine berauschende Explosion,Une explosion enivrante,Un'esplosione inebriante.,Odurzający wybuch,令人酩酊大醉的爆炸,高揚した爆破,알코올 폭발입니다,,,,,,,,,,,,,
action_thunder_blast,Explosion of thunder,Взрыв молнии,Explosão de trovão,Explosión de trueno,Donner-Explosion,Explosion de foudre,Esplosione di tuono,Wybuch piorunów,雷霆爆炸,雷爆発,천둥 폭발,,,,,,,,,,,,,
actiondesc_thunder_blast,An electric explosion,Электрический взрыв,Uma explosão elétrica.,Una explosión eléctrica,Eine elektrische Explosion,Une explosion électrique,Un'esplosione elettrica.,Elektryczny wybuch,电气性质的爆炸,電撃爆破,전기 폭발입니다,,,,,,,,,,,,,
action_charm_field,Circle of persuasion,Круг убеждения,Círculo da persuasão,Círculo de persuasión,Kreis der Überzeugung,Cercle de persuasion,Cerchio di persuasione,Krąg perswazji,说服之环,信念の輪,설득의 고리,,,,,,,,,,,,,
actiondesc_charm_field,A field of charming magic,Поле зачаровывающей магии,Um campo de magia encantadora.,Un campo de encantamiento mágico,Ein Feld aus bezaubernder Magie,Un champ de magie de charme,Un campo di magia incantatrice.,Pole urokliwej magii,迷惑魔法的领域,魅惑的な魔法のフィールド,매료시키는 마법장입니다,,,,,,,,,,,,,
action_berserk_field,Circle of fervour,Круг рвения,Círculo do fervor,Círculo de fervor,Kreis der Leidenschaft,Cercle de ferveur,Cerchio di fervore,Krąg ferworu,激情之环,熱情の輪,열정의 고리,,,,,,,,,,,,,
actiondesc_berserk_field,A field of berserk magic,Поле магии неистовства,Um campo de magia da fúria.,Un campo de magia berserker,Ein Feld aus Berserkermagie,Un champ de magie de berserker,Un campo di magia di tipo furia.,Pole magii berserku,狂暴魔法的领域,凶暴な魔法のフィールド,버서커 마법장입니다,,,,,,,,,,,,,
action_polymorph_field,Circle of transmogrification,Круг метаморфоз,Círculo da transmogrificação,Círculo de metamorfosis,Kreis der Verwandlung,Cercle de transmogrification,Cerchio di trasmutazione,Krąg przeobrażenia,变形之环,奇変形の輪,짐승 변신의 고리,,,,,,,,,,,,,
actiondesc_polymorph_field,A field of sheep-like magic,Поле овцеподобной магии,Um campo de magia do tipo ovelha.,Un campo de magia de oveja,Ein Feld aus Schafsmagie,Un champ de magie ovine,Un campo di magia ovina.,Pole owczej magii,变羊魔法的领域,羊のような魔法のフィールド,양으로 변신하는 마법장입니다,,,,,,,,,,,,,
action_chaos_polymorph_field,Circle of unstable metamorphosis,Круг нестабильной метаморфозы,Círculo da metamorfose instável,Círculo de metamorfosis inestable,Kreis der instabilen Metamorphose,Cercle de métamorphose instable,Cerchio di metamorfosi instabile,Krąg niestabilnej metamorfozy,不稳变形之环,不安定な変形の輪,불안정한 변신의 고리,,,,,,,,,,,,,
actiondesc_chaos_polymorph_field,A field of transformative magic,Поле преобразующей магии,Um campo de magia transformadora.,Un campo de transformación mágica,Ein Feld aus transformativer Magie,Un champ de magie transformatrice,Un campo di magia trasformatrice.,Pole transformującej magii,变形魔法的领域,変形魔法のフィールド,변신 마법장입니다,,,,,,,,,,,,,
action_electrocution_field,Circle of thunder,Круг молнии,Círculo do trovão,Círculo de trueno,Kreis des Donners,Cercle de foudre,Cerchio di tuono,Krąg piorunów,雷霆之环,雷の輪,천둥의 고리,,,,,,,,,,,,,
actiondesc_electrocution_field,A field of electrifying magic,Поле электрифицирующей магии,Um campo de magia eletrizante.,Un campo de electricidad mágico,Ein Feld aus elektrifizierender Magie,Un champ de magie électrisante,Un campo di magia elettrificante.,Pole elektryzującej magii,电击魔法的领域,電撃魔法のフィールド,전기 마법장입니다,,,,,,,,,,,,,
action_freeze_field,Circle of stillness,Круг тишины,Círculo da imobilidade,Círculo de quietud,Kreis des Stillstands,Cercle d'immobilité,Cerchio di immobilità,Krąg bezruchu,静止之环,沈黙の輪,정적의 고리,,,,,,,,,,,,,
actiondesc_freeze_field,A field of freezing magic,Поле замораживающей магии,Um campo de magia congelante.,Un campo de hielo mágico,Ein Feld aus gefrierender Magie,Un champ de magie de gel,Un campo di magia congelante.,Pole zamrażającej magii,冻结魔法的领域,凍結魔法のフィールド,얼려버리는 마법장입니다,,,,,,,,,,,,,
action_regeneration_field,Circle of vigour,Круг жизненной силы,Círculo do vigor,Círculo de vigor,Kreis der Vitalität,Cercle de vigueur,Cerchio di vigore,Krąg wigoru,活力之环,気力の輪,활력의 고리,,,,,,,,,,,,,
actiondesc_regeneration_field,A field of regenerative magic,Поле восстанавливающей магии,Um campo de magia regenerativa.,Un campo de regeneración mágica,Ein Feld aus regenerativer Magie,Un champ de magie régénératrice,Un campo di magia rigeneratrice.,Pole regeneracyjnej magii,再生魔法的领域,再生魔法のフィールド,재생 마법장입니다,,,,,,,,,,,,,
action_teleportation_field,Circle of displacement,Круг смещения,Círculo do deslocamento,Círculo de desplazamiento,Kreis der Verschiebung,Cercle de déplacement,Cerchio di trasferimento,Krąg przemieszczenia,位移之环,転移の輪,이동의 고리,,,,,,,,,,,,,
actiondesc_teleportation_field,A field of teleportative magic,Поле телепортативной магии,Um campo de magia de teletransporte.,Un campo de teletransporte mágico,Ein Feld aus Teleportmagie,Un champ de magie de téléportation,Un campo di magia di tipo teletrasporto.,Pole teleportacyjnej magii,传送魔法的领域,テレポート魔法のフィールド,텔레포트 마법장입니다,,,,,,,,,,,,,
action_levitation_field,Circle of buoyancy,Круг утраты веса,Ciclo da flutuabilidade,Círculo de flotabilidad,Kreis des Auftriebs,Cercle de flottaison,Cerchio di fluttuazione,Krąg unoszenia,浮力之环,浮揚性の輪,부유의 고리,,,,,,,,,,,,,
actiondesc_levitation_field,A field of levitative magic,Поле левитативной магии,Um campo de magia de levitação.,Un campo de levitación mágico,Ein Feld aus Schwebemagie,Un champ de magie de lévitation,Un campo di magia levitante.,Pole lewitacyjnej magii,飘浮魔法的领域,浮揚魔法のフィールド,비행 마법장입니다,,,,,,,,,,,,,
action_telepathy_field,Circle of seeing,Круг взора,Círculo da visão,Círculo de visión,Kreis des Sehens,Cercle de vision,Cerchio di visione,Krąg widzenia,预示之环,視線の輪,투시의 고리,,,,,,,,,,,,,
actiondesc_telepathy_field,A field of clairvoyant magic,Поле прозорливой магии,Um campo de magia clarividente.,Un campo de clarividencia mágica,Ein Feld aus hellseherischer Magie,Un champ de magie clairvoyante,Un campo di magia chiaroveggente.,Pole magii jasnowidzenia,洞察魔法的领域,透視魔法のフィールド,천리안 마법장입니다,,,,,,,,,,,,,
action_shield_field,Circle of shielding,Круг защиты,Círculo da proteção,Círculo de escudo,Kreis der Abschirmung,Cercle de protection,Cerchio di protezione,Krąg osłaniania,遮蔽之环,シールドの輪,방어의 고리,,,,,,,,,,,,,
actiondesc_shield_field,A field of protective magic,Поле защитной магии,Um campo de magia protetora.,Un campo de protección mágica,Ein Feld aus schützender Magie,Un champ de magie protectrice,Un campo di magia protettrice.,Pole magii ochronnej,防护魔法的领域,守護魔法のフィールド,방어 마법장입니다,,,,,,,,,,,,,
action_sea_lava,Sea of lava,Море лавы,Mar de lava,Mar de lava,Meer aus Lava,Mer de lave,Mare di lava,Morze lawy,岩浆之海,溶岩の海,용암의 바다,,,,,,,,,,,,,
actiondesc_sea_lava,Summons a large body of lava below the caster,Большая площадь под заклинателем заполнена лавой,Uma grande área abaixo do conjurador é preenchida com lava.,Una gran zona bajo el lanzador se llena de lava,"Bewirkt, dass eine große Fläche unter dem Wirker sich mit Lava füllt",Une large zone sous le lanceur se remplit de lave,Evoca una grande massa di lava sotto il lanciatore.,Przywołuje pod rzucającym dużo lawy,将施术者下方大片区域充满岩浆,詠唱者の下にある大きなエリアを溶岩で満たす,시전자 발 아래 거대한 용암 구역이 생깁니다.,,,,,,,,,,,,,
action_sea_oil,Sea of oil,Море нефти,Mar de petróleo,Mar de aceite,Meer aus Öl,Mer d'huile,Mare di petrolio,Morze ropy,油脂之海,オイルの海,기름의 바다,,,,,,,,,,,,,
actiondesc_sea_oil,Summons a large body of oil below the caster,Большая площадь под заклинателем заполнена нефтью,Uma grande área abaixo do conjurador é preenchida de petróleo.,Una gran zona bajo el lanzador se llena de aceite,"Bewirkt, dass eine große Fläche unter dem Wirker sich mit Öl füllt",Une large zone sous le lanceur se remplit d'huile,Evoca una grande massa di petrolio sotto il lanciatore.,Przywołuje pod rzucającym dużą ilość ropy,将施术者下方大片区域充满油,詠唱者の下にある大きなエリアをオイルで満たす,시전자 발 아래 거대한 기름 구역이 생깁니다.,,,,,,,,,,,,,
action_sea_water,Sea of water,Море воды,Mar de água,Mar de agua,Meer aus Wasser,Mer d'eau,Mare di acqua,Morze wody,水之海,水の海,물의 바다,,,,,,,,,,,,,
actiondesc_sea_water,Summons a large body of water below the caster,Большая площадь под заклинателем заполнена водой,Uma grande área abaixo do conjurador é preenchida com água.,Una gran zona bajo el lanzador se llena de agua,"Bewirkt, dass eine große Fläche unter dem Wirker sich mit Wasser füllt",Une large zone sous le lanceur se remplit d'eau,Evoca una grande massa di acqua sotto il lanciatore.,Przywołuje pod rzucającym dużą ilość wody,将施术者下方大片区域充满水,詠唱者の下にある大きなエリアを水で満たす,시전자 발 아래 거대한 물 구역이 생깁니다.,,,,,,,,,,,,,
action_sea_acid,Sea of acid,Море кислоты,Mar de ácido,Mar de ácido,Meer aus Säure,Mer d'acide,Mare di acido,Morze kwasu,酸液之海,酸の海,산성의 바다,,,,,,,,,,,,,
actiondesc_sea_acid,Summons a large body of acid below the caster,Большая площадь под заклинателем заполнена кислотой,Uma grande área abaixo do conjurador é preenchida com ácido.,Una gran zona bajo el lanzador se llena de ácido,"Bewirkt, dass eine große Fläche unter dem Wirker sich mit Säure füllt",Une large zone sous le lanceur se remplit d'acide,Evoca una grande massa di acido sotto il lanciatore.,Przywołuje pod rzucającym dużą ilość kwasu,将施术者下方大片区域充满酸液,詠唱者の下にある大きなエリアを酸で満たす,시전자 발 아래 거대한 산성 구역이 생깁니다.,,,,,,,,,,,,,
action_sea_acid_gas,Sea of flammable gas,Море горючего газа,Mar de gás inflamável,Mar de gas inflamable,Meer aus entflammbarem Gas,Mer de gaz inflammable,Mare di gas infiammabile,Morze łatwopalnego gazu,可燃气体之海,引火性ガスの海,인화성 가스의 바다,,,,,,,,,,,,,
actiondesc_sea_acid_gas,Summons a large body of flammable gas below the caster,Большая площадь под заклинателем заполнена горючим газом,Uma grande área abaixo do conjurador é preenchida com gás inflamável.,Una gran zona bajo el lanzador se llena de gas inflamable,"Bewirkt, dass eine große Fläche unter dem Wirker sich mit Gas füllt",Une large zone sous le lanceur se remplit de gaz inflammable,Evoca una grande massa di gas infiammabile sotto il lanciatore.,Przywołuje pod rzucającym dużą ilość łatwopalnego gazu,将施术者下方大片区域充满可燃气体,詠唱者の下にある大きなエリアを引火性ガスで満たす,시전자 발 아래 거대한 인화성 가스 구역이 생깁니다.,,,,,,,,,,,,,
action_sea_alcohol,Sea of alcohol,Море алкоголя,Mar de álcool,Mar de alcohol,Meer aus Alkohol,Mer d'alcool,Mare di alcol,Morze alkoholu,酒精之海,アルコールの海,알코올의 바다,,,,,,,,,,,,,
actiondesc_sea_alcohol,Summons a large body of tasty alcohol below the caster,Большая площадь под заклинателем заполнена вкусным алкоголем,Uma grande área abaixo do conjurador é preenchida com delicioso álcool.,Una gran zona bajo el lanzador se llena de delicioso alcohol,"Bewirkt, dass eine große Fläche unter dem Wirker sich mit Alkohol füllt",Une large zone sous le lanceur se remplit d'alcool savoureux,Evoca una grande massa di alcol delizioso sotto il lanciatore.,Przywołuje pod rzucającym dużą ilość smacznego alkoholu,将施术者下方大片区域充满美味酒液,詠唱者の下にある大きなエリアをおいしいアルコールで満たす,시전자 발 아래 거대하고 맛있는 알코올 구역이 생깁니다.,,,,,,,,,,,,,
action_cloud_water,Rain cloud,Дождевое облако,Nuvem de chuva,Nube de lluvia,Regenwolke,Nuage de pluie,Nuvola di pioggia,Chmura deszczowa,雨云,雨雲,비구름,,,,,,,,,,,,,
actiondesc_cloud_water,Creates a watery weather phenomenon,Создает «мокрое» природное явление,Cria um fenômeno de tempo úmido.,Crea un fenómeno de precipitación,Erschafft ein feuchtes Wetterphänomen,Crée un phénomène climatique aqueux,Crea un fenomeno atmosferico di tipo acquoso.,Tworzy wodne zjawisko pogodowe,产生降水天气现象,雨天を作り出す,축축해지는 날씨 현상이 발생합니다,,,,,,,,,,,,,
action_cloud_blood,Blood cloud,Кровавое облако,Nuvem de sangue,Nube de sangre,Blutwolke,Nuage de sang,Nuvola di sangue,Chmura krwi,血云,血の雲,피구름,,,,,,,,,,,,,
actiondesc_cloud_blood,Creates a rain of blood,Создает дождь из крови,Cria uma chuva de sangue.,Crea una lluvia de sangre,Erschafft einen Blutregen,Crée une pluie de sang,Fa scendere una pioggia di sangue.,Tworzy deszcz krwi,产生一阵血雨,血の雨が降る,피의 비가 내립니다,,,,,,,,,,,,,
action_cloud_acid,Acid cloud,Кислотное облако,Nuvem de ácido,Nube de ácido,Säurewolke,Nuage d'acide,Nuvola di acido,Chmura kwasu,酸云,酸の雲,산성구름,,,,,,,,,,,,,
actiondesc_cloud_acid,Creates an rain of acid,Создает дождь из кислоты,Cria uma chuva ácida.,Crea una lluvia de ácido,Erschafft einen Säureregen,Crée une pluie d'acide,Fa scendere una pioggia di acido.,Tworzy deszcz kwasu,产生一阵酸液之雨,酸の雨が降る,산성비가 내립니다,,,,,,,,,,,,,
action_cloud_thunder,Thundercloud,Грозовое облако,Nuvem carregada,Nube de tormenta,Donnerwolke,Nuage de foudre,Nuvola di tuono,Chmura z piorunami,雷云,雷の雲,천둥구름,,,,,,,,,,,,,
actiondesc_cloud_thunder,Creates a stormy cloud,Создает штормовое облако,Cria uma nuvem carregada.,Crea una nube de tormenta,Erschafft eine Donnerwolke,Crée un nuage de foudre,Crea una nuvola tempestosa.,Tworzy chmurę burzową,产生一片雷云,雷の雲を作り出す,천둥구름이 생깁니다.,,,,,,,,,,,,,
action_electric_charge,Electric charge,Электрический разряд,Descarga elétrica,Carga eléctrica,Elektrische Ladung,Charge électrique,Carica elettrica,Ładunek elektryczny,电荷放射,電撃チャージ,전기 충전,,,,,,,,,,,,,
actiondesc_electric_charge,"Gives a projectile an electric charge, that it will release on impact",Заставляет снаряд при ударе испускать электрический заряд,O projétil dispara uma descarga elétrica no impacto.,Hace que el proyectil libere una carga eléctrica al impactar,"Bewirkt, dass Projektile beim Aufprall eine elektrische Ladung freisetzen",Un projectile émet une charge électrique à l'impact,Applica a un proiettile una carica elettrica all'impatto.,"Daje pociskowi ładunek elektryczny, który zostanie uwolniony przy uderzeniu",为投射物赋予电荷放射，令其在击中时散发,衝撃で放射物から電撃チャージが放出されるようにする,전기 충전된 발사체가 충돌 시 전기를 발산합니다.,,,,,,,,,,,,,
action_matter_eater,Matter eater,Пожиратель материи,Devorador de matéria,Devorador de materia,Materiefresser,Mange-matière,Divoramento di materia,Pochłaniacz materii,物质吞噬者,物質イーター,물질 포식자,,,,,,,,,,,,,
actiondesc_matter_eater,Makes a projectile eat the environment as it flies,Заставляет снаряд в полёте разрушать окружение,O projétil consome o ambiente em seu trajeto.,Hace que el proyectil destruya el entorno mientras se desplaza,"Bewirkt, dass Projektile im Flug die Umgebung zerstören",Un projectile en vol détruit l'environnement,Consente a un proiettile di divorare l'ambiente circostante.,"Powoduje, że pocisk w czasie lotu pochłania środowisko",令投射物吞噬飞行路线上的环境,放射物が飛行中に環境を破壊するようにする,발사체가 날아가면서 환경을 먹어 치웁니다.,,,,,,,,,,,,,
action_freeze,Freeze charge,Замораживающий заряд,Descarga congelante,Carga congelante,Eisladung,Charge de gel,Carica congelante,Ładunek mrozu,冰冻放射,凍結チャージ,얼음 충전,,,,,,,,,,,,,
actiondesc_freeze,"Gives a projectile a frozen charge, that it will release on impact",Снаряд при ударе создает замороженный заряд,O projétil dispara uma descarga congelante no impacto.,Hace que el proyectil libere una carga congelante al impactar,"Bewirkt, dass Projektile beim Aufprall eine gefrorene Ladung freisetzen",Un projectile émet une charge de gel à l'impact,Applica a un proiettile una carica congelante all'impatto.,"Daje pociskowi ładunek mrozu, który zostanie uwolniony przy uderzeniu",为投射物赋予冰冻放射，令其在击中时散发,衝撃で放射物から凍結チャージが放出されるようにする,얼어붙은 발사체가 충돌 시 냉기를 발산합니다.,,,,,,,,,,,,,
action_hitfx_burning_critical_hit,Critical on burning,Крит. удар по горящим врагам,Crítico em inimigos em chamas,Crítico ardiente,Kritischer Treffer bei brennenden Feinden,Critique contre les ennemis en feu,Critico su nemici di fuoco,Krytyczne dla płonących,燃烧时暴击,燃焼時のクリティカル,타오르는 치명타,,,,,,,,,,,,,
actiondesc_hitfx_burning_critical_hit,Makes a projectile always do a critical hit on burning enemies,Снаряд всегда наносит критический удар по горящим врагам,O projétil sempre causa acerto crítico contra inimigos em chamas.,Añade un 100 % de probabilidad de crítico al proyectil contra enemigos en llamas,"Erhöht die Chance auf kritische Treffer bei Projektilen, die auf brennende Feinde treffen, um 100 %",Un projectile a 100 % de chances d'effectuer un coup critique contre les ennemis en feu,Consente a un proiettile di infliggere sempre un colpo critico ai nemici di fuoco.,"Sprawia, że pocisk zawsze powoduje trafienie krytyczne płonącym wrogom",令投射物对燃烧敌人始终暴击,燃焼している敵に当たった放射物へ、100%のクリティカルヒットの確率を追加する,발사체가 항상 불타는 적에게 치명타를 가합니다.,,,,,,,,,,,,,
action_hitfx_critical_water,Critical on wet (water) enemies,Крит. удар влажным (от воды) врагам,Crítico em inimigos molhados (água),Crítico mojado (agua),Kritischer Treffer bei nassen Feinden (Wasser),Critique sur les ennemis mouillés (eau),Critico su nemici bagnati (acqua),Krytyczne dla mokrych (wodnych),潮湿（浸水）敌人暴击,濡れている(水の)敵へのクリティカル,물에 젖은 적에게 치명타,,,,,,,,,,,,,
actiondesc_hitfx_critical_water,Makes a projectile always do a critical hit on wet (water) enemies,Снаряд всегда наносит критический удар по мокрым (от воды) врагам,O projétil sempre causa acerto crítico contra inimigos molhados (de água).,Añade un 100 % de probabilidad de crítico al proyectil contra enemigos mojados (agua),"Erhöht die Chance auf kritische Treffer bei Projektilen, die auf nasse Feinde (Wasser) treffen, um 100 %",Un projectile a 100 % de chances d'effectuer un coup critique contre les ennemis mouillés (eau),Consente a un proiettile di infliggere sempre un colpo critico sui nemici bagnati (acqua).,"Sprawia, że pocisk zawsze powoduje trafienie krytyczne mokrym (wodnym) wrogom",令投射物对潮湿（浸水）敌人始终暴击,濡れている(水の)敵に当たった放射物へ、100%のクリティカルヒットの確率を追加する,발사체가 항상 젖은(물) 적에게 치명타를 가합니다.,,,,,,,,,,,,,
